Name,Specific Brand,lat,long,Address,types
AUDI CENTER JAKARTA INDONESIA,Misc,-6.1249521,106.754431,"Jl. Kapuk Muara Raya No.1, RT.1/RW.16, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Center MT. Haryono,Misc,-6.2428591,106.8645059,"Gedung Indomobil Tower IV, Jl. Letjen M.T. Haryono No.Kav. 11, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Halim Service Center,Misc,-6.2488121,106.880427,"Jl. Halim Perdanakusuma No.1 A, RT.1/RW.8, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Audi Indonesia (ATPM),Misc,-6.242672,106.863316,"Jl. Letjen M.T. Haryono No.6, RW.6, Kp. Melayu, Jakarta, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Indonesia Dealer Resmi,Misc,-6.1245195,106.7534564,"Jl. Pantai Indah Selatan 1 Blok Da No.1A, RT.1/RW.6, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Kemayoran,Misc,-6.158127,106.8414413,"Jl. Angkasa, RT.5/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Metropolitan Tower,Misc,-6.29262,106.7847235,"Jl.RA.Kartini Kav.14 TB Simatupang, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Audi Pantai Indah Kapuk,Misc,-6.1248837,106.7536631,"Jl Pantai Indah Selatan 1 ST/A, Jl. Pantai Indah Kapuk, RT.1/RW.6, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Puri Indah,Misc,-6.1864565,106.7313519,"Jalan Komplek Puri Blok R No.1 Kembangan RT.1/RW.2, Kembangan Selatan, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Volkswagen GSO Jakarta,Volkswagen,-6.1585279,106.8414835,"Jl. Angkasa No.18, RT.1/RW.2, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi VW jakarta,VW,-6.2929539,106.7846692,"Gedung Metropolitan Tower, Jalan R.A.Kartini, T. B. Simatupang, Gang C 1, Gg. RW No.RT.10, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Wisma Indomobil - 081218018121,Misc,-6.242513,106.862963,"Jl MT Haryono kav 8, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Authorized Dealer Mercedes Benz,Mercedes-Benz,-6.2111,106.91429,"Darma Niaga, Jalan Raya Bekasi KM.17 No.23, RT.2/RW.9, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Authorized Mercedes Benz Dealer,Mercedes-Benz,-6.1250657,106.794723,"Jl. Pluit Selatan Raya No.1C, RT.16/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['car_dealer', 'finance', 'store', 'point_of_interest', 'establishment']"
Auto Point Bengkel,Misc,-6.2754101,106.7425879,"Jl. Nusa Jaya No.3, Pd. Ranji, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Auto Pro Body Repair,Misc,-6.270114,106.7750223,"Jl. Ciputat Raya Blok Anggrek No.63, RT.4/RW.11, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Auto Solution Peugeot Spesialis Supri,Peugeot,-6.3200519,106.9585116,"Jatiluhur, Jatiasih, Bekasi City, West Java 17425, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Auto2000 Body Paint Sunter,Misc,-6.1374146,106.8841854,"Tanjung Priuk, Jl. Gaya Motor III No.3, RW.8, Bambu River, Tanjung Priok, North Jakarta City, Jakarta 14330, Indonesia","['car_repair', 'car_dealer', 'store', 'point_of_interest', 'establishment']"
Auto2000 Puri Kembangan,Misc,-6.1814075,106.7296259,"Jl. Lingkar Luar Barat, Jl. Puri Kembangan No.40, RT.5/RW.1, North Kembangan, Kembangan, West Jakarta City, Jakarta 11500, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Auto2000 Toyota,Toyota,-6.2471163,106.9205406,"Jl. Raya Kalimalang No.45, RT.1/RW.7, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
AutoCraft Body Repair,Misc,-6.2073034,106.7863784,"Jl. Palmerah Utara No.47 B, RT.2/RW.3, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Autowerke Body Repair,Misc,-6.271936,106.8069467,"Jalan Asem II Blok Ros No.32, RT.1/RW.1, South Cipete, Cilandak, South Jakarta City, Jakarta 12410, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Bawang Goreng Gurih(Miss Bawang),Misc,-6.332438,106.855715,"JL.Kirai Indah kav.2 RT.06/10 no.29A. Kalisari, Pasar Rebo, Jakarta Timur, Kalisari, Jakarta, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,Misc,-6.1832793,106.9786616,"Jl. Komp. Ruko Boulevard Blok c No.16, Harapan Indah, Kota Bks, Pejuang, Medan Satria, Bekasi City, West Java 17131, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,Misc,-6.1624539,106.8234325,"Jl. Batu Ceper No.59, RT.15/RW.1, Kb. Klp., Kec. Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,Misc,-6.194945,106.724693,"Jl. Raden Saleh Blok 10 No.25, RT.5/RW.1, Meruya Utara, Kec. Kembangan, Jakarta, Daerah Khusus Ibukota Jakarta 15157, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,Misc,-6.2426204,106.6213419,"Kelapa Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,Misc,-6.2883506,106.8180431,"Jl. Ampera Raya No.4, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia","['point_of_interest', 'establishment']"
Bengawan Motor Volvo,Volvo,-6.248349,106.847587,"Jl. Pancoran Timur VIII No.1, RT.5/RW.8, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel 7 Umum dan Spesialis,Misc,-6.250245,107.065046,"Jalan Kali Baru yapink rt 005 rw 02 no 3, Jl. Mangunjaya, Mangunjaya, Kec. Tambun Sel., Bekasi, Jawa Barat 17510, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel ABM Opel/Chevrolet,Chevrolet,-6.3701735,107.1136043,"Jl. Mbah Kilong No.1, Sukadami, Cikarang Pusat, Sukadami, Kec. Cikarang Pusat, Bekasi, Jawa Barat 17530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Alternatif Nissan Datsun,Nissan/Datsun,-6.204074,106.0789852,"Pabuaran, Serang, Banten 42163, Indonesia","['store', 'point_of_interest', 'establishment']"
Bengkel Auto Clinic (Kresna Mitra Asuransi Tbk.),Misc,-6.1895573,106.8848139,"Jl. Bangunan Barat No.2, RT.1/RW.4, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel AUTOFRESH,Misc,-6.3453798,106.8148223,"Jl. Mohamad Kafi II No.8, Kelurahan Cipedak, Kecamatan Jagakarsa, RT.2/RW.5, Cipedak, Jakarta Selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel BAW,Misc,-6.1996812,106.7688801,"Jl. B No.17, RT.4/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel BMW Cibubur,BMW,-6.4011635,106.9373542,"Jl. Letda Natsir No.18, Cikeas Udik, Kec. Gn. Putri, Bogor, Jawa Barat 16966, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Bengkel Chevrolet,Chevrolet,-6.5804173,106.8183243,"Achmad Adnawijaya Street No.17-42, Tegal Gundil, North Bogor, Bogor City, West Java 16152, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BENGKEL CHEVROLET - MULAND MOTOR,Chevrolet,-6.331814,107.176214,"Jayamukti, Central Cikarang, Bekasi, West Java 17530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Fatih Motor,Misc,-6.2243643,106.5541076,"Jl. Raya Serang No.55, RT.1/RW.2, Bunder, Kec. Cikupa, Tangerang, Banten 15710, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Ford Kota Tangerang,Ford,-6.1898487,106.6420029,"Jl. Jenderal Sudirman No.89, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Ketok Magic Ary Motor,Misc,-6.2582674,106.8624654,"Jl. Raya Kalibata No.56, RT.2/RW.7, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Kita BSD,Misc,-6.3168077,106.700542,"Jalan Masjid Ciater Kp. Maruga RT 04 RW 009 Serpong BSD Banten, Ciater, Kec. Serpong, Kota Tangerang Selatan, Banten 15317, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Las dan Mobil GadingSerpong SMS AJA,Misc,-6.243345,106.6196453,"Jl. Boulevard Raya Gading Serpong, Klp. Dua, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Metropolitan,Misc,-6.3744345,106.8321238,"Jl. Margonda Raya No.335, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16421, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil - Sinar Surya,Misc,-6.1904971,106.8377547,"Samping Bank Mega, Jl. Cikini 2 No.2, RT.13/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil 24 Jam GALAXY CIKARANG “Rian Lamborghini”,Lamborghini,-6.255286,107.157187,"Jl. Ki Hajar Dewantara, Karangasih, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['car_repair', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS Bintaro,Misc,-6.275658,106.762904,"Jalan RC Veteran Nomor 19, Kelurahan Bintaro, Kecamatan Pesanggrahan, RT.4/RW.7, Bintaro, Pesanggrahan, RT.4/RW.7, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia","['car_wash', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS BSD,Misc,-6.3055346,106.6696253,"Jl. Kp., Cilenggang, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS Cibubur,Misc,-6.3889907,106.9454,"Jl. Alternatif Cibubur, Nagrak, Kec. Gn. Putri, Bogor, Jawa Barat 16967, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS Ciledug,Misc,-6.2361854,106.7465705,"Jalan Bahagia Nomor 5 Rt 003 Rw 02 Kreo Selatan Larangan, Petukangan Utara, Pesanggrahan, RT.1, Petukangan Utara, Kec. Pesanggrahan, Kota Tangerang, Banten 15156, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS Kavling DKI,Misc,-6.1920066,106.7248685,"Jl. Meruya Utara Blok Marjuki No.25, RT.1/RW.11, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil BOS Kedoya,Misc,-6.183121,106.767828,"Jalan Panjang Nomor 28, Kedoya Selatan, Kebon Jeruk, RT.7/RW.1, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia","['car_wash', 'car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil Budi Laksana Motor,Misc,-6.6523673,106.9084184,"Jl. Raya Puncak - Cianjur No.77, Cilember, Kec. Cisarua, Bogor, Jawa Barat 16750, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel mobil Om Noto,Misc,-6.2488246,106.5747736,"Gg. Keong Ronyok, Suka Bakti, Kec. Curug, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobil Oscar Autocars,Misc,-6.254492,106.619625,"Jl. Desa Curug Tgr. No.69, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
bengkel mobil specialis volvo,Volvo,-6.372228,106.857541,"jl kramat benda ry no 9 taman duta cisalak depok blkg giant cimanggis, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16418, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Mobilku (Honda Specialist),Honda,-6.2693078,106.8310617,"no., Jl. Warung Jati Barat Blok Darul Muslimin No.2, RT.4/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Motor,Misc,-6.2334045,106.8441777,"Jl. Prof. DR. Soepomo No.6, RT.1/RW.2, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
"Bengkel Motor "" Motorworld "" Tangerang",Misc,-6.18494,106.634681,"No. (Kapling), Jl. Kh. Soleh Ali No.111, Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Motor Fatih,Misc,-6.2246413,106.5543409,"Jl.Raya Serang km.10,5 No.6, Jl. Kp. Kadu Suka Mulya No.Ds, Bunder, Kec. Cikupa, Tangerang, Banten 15710, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BENGKEL OPEL CHEVROLET,Chevrolet,-6.3711418,106.8828592,"Jl. Radar Auri No.23, Cisalak Ps., Kec. Cimanggis, Kota Depok, Jawa Barat 16452, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Opel Chevrolet Depok Pandit Jaya Motor (PJM),Chevrolet,-6.3863564,106.844335,"Jl. Waru Jaya No.133A, RT.08/RW.21, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Pak Mani,Misc,-6.1941312,106.949387,"B, Jl. Pulau Sangiyang No.3, RT.4/RW.5, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Peugeot,Peugeot,-6.3215853,106.924004,"Jl. Raya Hankam, RW.4, Jatimurni, Kec. Pd. Melati, Kota Bks, Jawa Barat 17431, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Bengkel primatama,Misc,-6.1889824,106.7743514,"Jl. Kb. Jeruk Baru No.17, RT.8/RW.8, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Quattro,Misc,-6.30955,106.8138,"Jl. Cilandak KKO No.1 A RT.014/08, Cilandak Ragunan, RT.1/RW.7, Ragunan, Pasar Minggu, South Jakarta City, Jakarta 12550, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Bengkel Setya Jaya Motor,Misc,-6.269062,106.911804,"Jl. Raya Jatiwaringin No.45, RW.3, Jaticempaka, Kec. Pondokgede, Kota Bks, Jawa Barat 17411, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Subur Jaya 3,Misc,-6.377376,107.1675455,"No.3500 kp tembong gunung ds, Jl. Warung Ampel, Sukamahi, Kec. Cikarang Pusat, Bekasi, Jawa Barat 17530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Tigawe Lamindo,Misc,-6.5744439,106.8082472,"Padjadjaran Road No.91, Bantarjati, North Bogor, Bogor City, West Java 16153, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel VOLVO,Volvo,-6.3002291,106.8275089,"Jl. Kebagusan No.80, RT.6/RW.1, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Volvo,Volvo,-6.3847742,106.8270649,"Jl. Kedondong 1 No.50, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16423, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Yamaha,Misc,-6.2148688,106.8789878,"Gg. Nangka No.150, RT.8/RW.13, Cipinang Besar Utara, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Berkah Putera Khatulistiwa Powder Coating,Misc,-6.2301464,106.5120663,"Jl. Padat Karya No.19, Sukamulya, Kec. Cikupa, Tangerang, Banten 15710, Indonesia","['point_of_interest', 'establishment']"
Bmw,BMW,-6.2365126,106.9751973,"Jl. Fajar Utama No.6, Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17145, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Astra Pluit,BMW,-6.1256816,106.7980931,"Jl. Pluit Selatan Raya No.8A, RT.3/RW.8, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Astra Serpong,BMW,-6.2874063,106.6386177,"Astra Biz Center No. 11A, Jl. BSD Raya Utama, BSD City, Serpong, Lengkong Kulon, Kec. Pagedangan, Tangerang, Banten 15331, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW ASTRA TB.SIMATUPANG,BMW,-6.292564,106.789755,"Jl. R.A.Kartini No.KAV.203, RT.11/RW.4, Cilandak Bar., Kec. Cilandak, DKI JAKARTA, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW BOGOR ( Business Counsulthant ),BMW,-6.184895,106.82277,"Indosurya Plaza, Jl. M.H. Thamrin No.8, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
